repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,n_god_class,n_data_class,n_feature_envy,n_brain_method,design_smell_count,design_smell_density_per_kloc,implementation_smell_count,implementation_smell_density_per_kloc,status
134182879.0,wieslawsoltes/Dock,C#,A1,2023-01-01T00:00:00+00:00,41fa214df992377b0efd1f95c581086bbf3c3528,13533,245,0,208,584,4,10,6,20,14,1.0345082391191902,26,1.9212295869356388,ok
134182879.0,wieslawsoltes/Dock,C#,A1,2023-02-01T00:00:00+00:00,41fa214df992377b0efd1f95c581086bbf3c3528,13533,245,0,208,584,4,10,6,20,14,1.0345082391191902,26,1.9212295869356388,ok
134182879.0,wieslawsoltes/Dock,C#,A1,2023-03-01T00:00:00+00:00,41fa214df992377b0efd1f95c581086bbf3c3528,13533,245,0,208,584,4,10,6,20,14,1.0345082391191902,26,1.9212295869356388,ok
134182879.0,wieslawsoltes/Dock,C#,A1,2023-04-01T00:00:00+00:00,41fa214df992377b0efd1f95c581086bbf3c3528,13533,245,0,208,584,4,10,6,20,14,1.0345082391191902,26,1.9212295869356388,ok
134182879.0,wieslawsoltes/Dock,C#,A1,2023-05-01T00:00:00+00:00,41fa214df992377b0efd1f95c581086bbf3c3528,13533,245,0,208,584,4,10,6,20,14,1.0345082391191902,26,1.9212295869356388,ok
134182879.0,wieslawsoltes/Dock,C#,A1,2023-06-01T00:00:00+00:00,41fa214df992377b0efd1f95c581086bbf3c3528,13533,245,0,208,584,4,10,6,20,14,1.0345082391191902,26,1.9212295869356388,ok
134182879.0,wieslawsoltes/Dock,C#,A1,2023-07-01T00:00:00+00:00,41fa214df992377b0efd1f95c581086bbf3c3528,13533,245,0,208,584,4,10,6,20,14,1.0345082391191902,26,1.9212295869356388,ok
134182879.0,wieslawsoltes/Dock,C#,A1,2023-08-01T00:00:00+00:00,41fa214df992377b0efd1f95c581086bbf3c3528,13533,245,0,208,584,4,10,6,20,14,1.0345082391191902,26,1.9212295869356388,ok
134182879.0,wieslawsoltes/Dock,C#,A1,2023-09-01T00:00:00+00:00,41fa214df992377b0efd1f95c581086bbf3c3528,13533,245,0,208,584,4,10,6,20,14,1.0345082391191902,26,1.9212295869356388,ok
134182879.0,wieslawsoltes/Dock,C#,A1,2023-10-01T00:00:00+00:00,41fa214df992377b0efd1f95c581086bbf3c3528,13533,245,0,208,584,4,10,6,20,14,1.0345082391191902,26,1.9212295869356388,ok
134182879.0,wieslawsoltes/Dock,C#,A1,2023-11-01T00:00:00+00:00,41fa214df992377b0efd1f95c581086bbf3c3528,13533,245,0,208,584,4,10,6,20,14,1.0345082391191902,26,1.9212295869356388,ok
