repo_id,full_name,language,track,target_date,commit_sha,total_loc,n_files,n_parse_errors,n_classes,n_methods,class_loc_p50,class_loc_p90,method_loc_p50,method_loc_p90,cyclomatic_complexity_p50,cyclomatic_complexity_p90,pc_p50,pc_p90,wmc_p50,wmc_p90,lcom_p50,lcom_p90,dit_p50,dit_p90,fan_in_p50,fan_in_p90,fan_out_p50,fan_out_p90,status
710601088.0,crewAIInc/crewAI,Python,A1,2024-04-01T00:00:00+00:00,98ee60e06f1d558d2a1f6c9a95c80fed21fe832f,4661,48,2,30,210,30.0,249.60000000000002,12.0,35.099999999999994,1.0,4.0,0.0,2.0,6.0,38.60000000000001,0.5,8.200000000000003,0.0,0.0,1.0,2.0,0.0,6.200000000000003,ok
710601088.0,crewAIInc/crewAI,Python,A1,2024-05-01T00:00:00+00:00,3d5257592b440fca8c46b77471e1c34c901ee57f,5908,70,2,46,269,24.5,276.5,11.0,34.20000000000002,1.0,4.0,1.0,2.200000000000017,5.0,40.0,0.0,8.0,0.0,0.0,2.0,2.5,0.0,5.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2024-06-01T00:00:00+00:00,ea893432e89095b50b3b49c622b32e4772c90df4,6588,75,2,48,300,24.0,287.50000000000006,11.0,34.10000000000002,1.0,4.0,1.0,2.0,5.0,39.90000000000001,0.0,8.600000000000009,0.0,0.0,1.5,3.0,0.0,4.6000000000000085,ok
710601088.0,crewAIInc/crewAI,Python,A1,2024-07-01T00:00:00+00:00,5b66e876210b95d5902b9044f6cb87ab7dd1d1c6,7639,87,2,57,351,25.0,244.19999999999996,11.0,36.0,1.0,4.0,1.0,2.0,5.0,32.999999999999986,0.0,10.0,0.0,1.0,2.0,3.0,0.0,4.399999999999999,ok
710601088.0,crewAIInc/crewAI,Python,A1,2024-08-01T00:00:00+00:00,c93b85ac531ebfdb0718ef11110ef79aa5a38fc3,12638,107,2,77,603,28.0,149.40000000000006,11.0,34.0,1.0,4.0,1.0,2.0,5.0,19.00000000000003,0.0,14.000000000000057,0.0,1.0,1.0,3.4000000000000057,0.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2024-09-01T00:00:00+00:00,c7e8d559267e55724fcd3979fc5f15bc81802fb6,16891,155,5,108,828,27.5,153.2,10.0,33.30000000000007,1.0,4.0,1.0,2.0,4.0,17.599999999999994,0.0,16.499999999999986,0.0,1.0,1.0,4.0,0.5,4.299999999999997,ok
710601088.0,crewAIInc/crewAI,Python,A1,2024-10-01T00:00:00+00:00,32fdd11c933ad83d744edc2beb44c24585b941a1,19112,169,5,123,926,27.0,177.59999999999997,11.0,34.0,1.0,4.0,1.0,2.0,4.0,19.799999999999997,0.0,10.0,0.0,1.0,1.0,3.799999999999997,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2024-11-01T00:00:00+00:00,66698503b878459ed5d7d208c7ec37e995a54f28,21321,192,6,136,1056,26.0,171.0,10.0,34.0,1.0,4.0,1.0,2.0,3.0,20.0,0.0,18.5,0.0,1.0,1.0,3.0,0.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2024-12-01T00:00:00+00:00,bca56eea48cd2f5d8f4280fe4906bed94809859d,24957,227,6,162,1227,29.0,156.0,10.0,34.0,1.0,4.0,1.0,2.0,5.0,20.0,0.0,20.600000000000023,0.0,1.0,1.0,4.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-01-01T00:00:00+00:00,ba89e43b62981a3f722b09563105fa078ea8326a,25949,208,4,150,1196,34.5,172.49999999999997,11.0,37.0,1.0,5.0,1.0,2.0,5.0,23.0,0.0,21.099999999999994,0.0,1.0,1.0,4.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-02-01T00:00:00+00:00,23b9e1032308d81aa16072932ea7884d44bc4da1,30522,219,4,161,1339,33.0,185.0,12.0,40.0,1.0,5.0,1.0,2.0,5.0,23.0,0.0,21.0,0.0,1.0,1.0,4.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-03-01T00:00:00+00:00,86825e176900cbc68e00060adc525f0b8d5920e5,34276,233,4,196,1434,24.5,163.5,12.0,41.0,1.0,5.0,1.0,2.0,3.0,22.5,0.0,17.5,0.0,1.0,1.0,4.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-04-01T00:00:00+00:00,3c2435030606da5c1c199bfa19d158ab669ffb2d,39212,254,4,213,1619,25.0,164.0,13.0,42.200000000000045,1.0,5.0,1.0,2.0,5.0,22.80000000000001,0.0,20.400000000000034,0.0,2.0,1.0,4.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-05-01T00:00:00+00:00,378dcc79bb341614290f9df4d4a2aa3632f7995a,43616,303,4,248,1808,24.5,164.0,12.0,42.0,1.0,5.0,1.0,2.0,4.0,22.30000000000001,0.0,17.30000000000001,0.0,2.0,1.0,4.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-06-01T00:00:00+00:00,1da2fd2a5c773456eb3fe346d5951b10e2aa6791,46844,314,4,268,1927,21.0,159.80000000000007,13.0,42.0,1.0,5.0,1.0,3.0,3.0,21.30000000000001,0.0,17.30000000000001,0.0,2.0,1.0,4.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-07-01T00:00:00+00:00,af9c01f5d3385ff3dfec5463c2a4bca9bec20f44,49534,320,5,274,2047,20.5,163.40000000000003,13.0,42.0,1.0,5.0,1.0,3.0,3.0,22.700000000000017,0.0,17.0,0.0,2.0,1.0,4.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-08-01T00:00:00+00:00,88ed91561ff0602309a5f875f0ee59069491fb5d,56736,362,5,324,2281,22.0,178.79999999999995,13.0,44.0,1.0,5.0,1.0,3.0,3.0,23.0,0.0,17.0,0.0,2.0,1.0,4.0,1.0,5.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-09-01T00:00:00+00:00,1b1a8fdbf425b5a7bc820d91629c8cca786b3f39,64826,424,5,383,2607,19.0,184.00000000000006,13.0,43.0,1.0,5.0,1.0,3.0,2.0,23.80000000000001,0.0,21.0,0.0,2.0,1.0,4.0,1.0,5.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-10-01T00:00:00+00:00,b77074e48e09caefa982a0ff39d5ef13411dfe8e,72301,498,5,475,2778,15.0,174.80000000000018,13.0,44.0,1.0,5.0,1.0,3.0,1.0,20.0,0.0,17.600000000000023,0.0,2.0,1.0,5.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-11-01T00:00:00+00:00,2e9eb8c32dc7c0616bda60ce4185b0220afbdd60,116052,812,5,868,4299,18.0,168.60000000000014,14.0,44.0,1.0,5.0,1.0,3.0,1.0,21.300000000000068,0.0,15.0,0.0,1.0,0.0,3.0,1.0,3.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2025-12-01T00:00:00+00:00,2355ec0733101f4ce4228a26c5820d7ebe2cd3a9,136428,879,5,1011,5012,23.0,158.0,14.0,44.0,1.0,5.0,1.0,3.0,2.0,20.0,0.0,15.0,0.0,1.0,0.0,4.0,1.0,3.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2026-01-01T00:00:00+00:00,f3c17a249b5a2da3a917784d9762421591c1cde5,151085,907,5,1091,5495,25.0,164.0,14.0,44.0,1.0,5.0,1.0,3.0,2.0,19.0,0.0,15.0,0.0,1.0,0.0,4.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2026-02-01T00:00:00+00:00,63a508f601e5934f7993b0083e59fe90da56bb4f,189740,1001,5,1434,6733,26.0,150.0,14.0,44.0,1.0,5.0,1.0,3.0,2.0,16.0,0.0,15.0,0.0,1.0,0.0,4.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A1,2026-03-01T00:00:00+00:00,c00a348837aab2b96c27080e2c9d682b66c88d90,201375,999,5,1532,7255,27.0,149.9000000000001,13.0,44.0,1.0,5.0,1.0,3.0,2.0,16.0,0.0,15.0,0.0,1.0,0.0,4.0,1.0,4.0,ok
710601088.0,crewAIInc/crewAI,Python,A2,2023-12-27T20:52:41+00:00,6adfa6fe0700e5ff81b3efac2f31fab3cda7f51c,859,17,0,6,34,71.0,91.5,12.5,29.7,1.0,3.0,0.0,1.0,6.5,13.0,2.5,5.0,0.0,0.0,1.0,1.0,0.0,2.5,ok
710601088.0,crewAIInc/crewAI,Python,A2,2024-01-27T20:52:41+00:00,9e1be4ecd26d018a9dd4b0ae1399d6397257ffa0,1976,30,0,17,87,36.0,164.4,9.0,34.0,1.0,3.0,0.0,2.0,6.0,20.800000000000004,0.0,6.0,0.0,0.0,1.0,2.0,0.0,4.000000000000002,ok
710601088.0,crewAIInc/crewAI,Python,A2,2024-02-27T20:52:41+00:00,cd9f7931c96b32d4f79a7ff9bb8395467927b4d7,3718,38,0,27,163,33.0,218.60000000000008,12.0,34.80000000000001,1.0,4.0,0.0,2.0,6.0,33.60000000000001,1.0,12.800000000000026,0.0,0.0,1.0,2.0,0.0,6.400000000000002,ok
710601088.0,crewAIInc/crewAI,Python,A2,2024-03-27T20:52:41+00:00,128ce919514bcac76062f36fe14b49eb283eb7dc,4661,48,2,30,210,30.0,249.60000000000002,12.0,35.099999999999994,1.0,4.0,0.0,2.0,6.0,38.60000000000001,0.5,8.200000000000003,0.0,0.0,1.0,2.0,0.0,6.200000000000003,ok
710601088.0,crewAIInc/crewAI,Python,A2,2024-04-27T20:52:41+00:00,3d5257592b440fca8c46b77471e1c34c901ee57f,5908,70,2,46,269,24.5,276.5,11.0,34.20000000000002,1.0,4.0,1.0,2.200000000000017,5.0,40.0,0.0,8.0,0.0,0.0,2.0,2.5,0.0,5.0,ok
710601088.0,crewAIInc/crewAI,Python,A2,2024-05-27T20:52:41+00:00,bf40956491e9c9026bf0f7e1211823bec9da5625,6588,75,2,48,300,24.0,287.50000000000006,11.0,34.10000000000002,1.0,4.0,1.0,2.0,5.0,39.90000000000001,0.0,8.600000000000009,0.0,0.0,1.5,3.0,0.0,4.6000000000000085,ok
710601088.0,crewAIInc/crewAI,Python,A2,2024-06-27T20:52:41+00:00,851dd0f84fe54755f8713908ea180c995b3dbade,7564,87,2,57,347,25.0,244.19999999999996,11.0,36.400000000000034,1.0,4.0,1.0,2.0,5.0,32.999999999999986,0.0,10.0,0.0,1.0,2.0,3.0,0.0,4.399999999999999,ok
710601088.0,crewAIInc/crewAI,Python,A2,2024-07-27T20:52:41+00:00,99d023c5f33636be1ff9eb473aa761eb8a4a36c9,12568,107,2,77,601,28.0,141.00000000000014,11.0,34.0,1.0,4.0,1.0,2.0,5.0,19.00000000000003,0.0,14.000000000000057,0.0,1.0,1.0,3.4000000000000057,0.0,4.0,ok
